bias,time,
0,1615879203.70823,
0,1615879203.90913,
0,1615879204.11237,
0,1615879204.31211,
0,1615879204.51514,
0,1615879204.71796,
0,1615879204.91673,
0,1615879205.11898,
0,1615879205.3214,
0,1615879205.52377,
0,1615879205.72582,
0,1615879205.92667,
0,1615879206.12944,
0,1615879206.33035,
0,1615879206.53249,
0,1615879206.73429,
0,1615879206.93746,
0,1615879207.13726,
0,1615879207.33908,
0,1615879207.54167,
0,1615879207.74376,
0,1615879207.94609,
0,1615879208.14601,
0,1615879208.34952,
0,1615879208.55199,
0,1615879208.75276,
0,1615879208.95435,
0,1615879209.15565,
0,1615879209.36004,
0,1615879209.56061,
0,1615879209.76123,
0,1615879209.96308,
0,1615879210.16382,
0,1615879210.36689,
0,1615879210.56903,
0,1615879210.77011,
0,1615879210.97129,
0,1615879211.17131,
0,1615879211.37366,
0,1615879211.57559,
0,1615879211.77842,
0,1615879211.97923,
0,1615879212.18287,
0,1615879212.38168,
0,1615879212.58528,
0,1615879212.78818,
0,1615879212.9896,
0,1615879213.1897,
0,1615879213.39138,
0,1615879213.59359,
0,1615879213.79471,
0,1615879213.99632,
0,1615879214.19836,
0,1615879214.39991,
0,1615879214.60373,
0,1615879214.80331,
0,1615879215.00561,
0,1615879215.20738,
0,1615879215.40809,
0,1615879215.6097,
0,1615879215.81089,
0.100000001490116,1615879216.01415,
0.100000001490116,1615879216.21451,
0.100000001490116,1615879216.41681,
0.100000001490116,1615879216.6195,
0.100000001490116,1615879216.82062,
0.100000001490116,1615879217.02162,
0.100000001490116,1615879217.22321,
0.100000001490116,1615879217.4264,
0.100000001490116,1615879217.63124,
0.100000001490116,1615879217.83246,
0.100000001490116,1615879218.03151,
0.100000001490116,1615879218.23526,
0.100000001490116,1615879218.4372,
0.100000001490116,1615879218.64026,
0.100000001490116,1615879218.84129,
0.100000001490116,1615879219.04247,
0.100000001490116,1615879219.24447,
0.100000001490116,1615879219.4479,
0.100000001490116,1615879219.64955,
0.100000001490116,1615879219.85174,
0.100000001490116,1615879220.05191,
0.100000001490116,1615879220.25297,
0.100000001490116,1615879220.45519,
0.100000001490116,1615879220.65838,
0.100000001490116,1615879220.85892,
0.100000001490116,1615879221.06191,
0.100000001490116,1615879221.26329,
0.100000001490116,1615879221.46433,
0.100000001490116,1615879221.66817,
0.100000001490116,1615879221.87233,
0.100000001490116,1615879222.07315,
0.100000001490116,1615879222.27509,
0.100000001490116,1615879222.47728,
0.100000001490116,1615879222.67792,
0.100000001490116,1615879222.87999,
0.100000001490116,1615879223.08038,
0.100000001490116,1615879223.28259,
0.100000001490116,1615879223.48437,
0.100000001490116,1615879223.68729,
0.100000001490116,1615879223.88922,
0.100000001490116,1615879224.09029,
0.100000001490116,1615879224.29208,
0.100000001490116,1615879224.49352,
0.100000001490116,1615879224.69621,
0.100000001490116,1615879224.89654,
0.100000001490116,1615879225.09972,
0.100000001490116,1615879225.30004,
0.100000001490116,1615879225.50251,
0.100000001490116,1615879225.70373,
0.100000001490116,1615879225.90639,
0.100000001490116,1615879226.10567,
0.100000001490116,1615879226.30832,
0.100000001490116,1615879226.51023,
0.100000001490116,1615879226.71082,
0.100000001490116,1615879226.91329,
0.100000001490116,1615879227.11595,
0.100000001490116,1615879227.31612,
0.100000001490116,1615879227.51868,
0.100000001490116,1615879227.71993,
0.100000001490116,1615879227.9226,
0.100000001490116,1615879228.1252,
0.100000001490116,1615879228.32647,
0.100000001490116,1615879228.52765,
0.100000001490116,1615879228.72862,
0.100000001490116,1615879228.92995,
0.100000001490116,1615879229.13208,
0.100000001490116,1615879229.33527,
0.100000001490116,1615879229.53492,
0.100000001490116,1615879229.73602,
0.100000001490116,1615879229.93856,
0.100000001490116,1615879230.14002,
0.100000001490116,1615879230.34146,
0.100000001490116,1615879230.54411,
0.100000001490116,1615879230.74419,
0.100000001490116,1615879230.94773,
0.100000001490116,1615879231.14995,
0.100000001490116,1615879231.3505,
0.100000001490116,1615879231.55112,
0.100000001490116,1615879231.75284,
0.100000001490116,1615879231.95635,
0.100000001490116,1615879232.15732,
0.100000001490116,1615879232.36105,
0.100000001490116,1615879232.56171,
0.100000001490116,1615879232.7637,
0.100000001490116,1615879232.96586,
0.100000001490116,1615879233.16718,
0.100000001490116,1615879233.36997,
0.100000001490116,1615879233.57106,
0.100000001490116,1615879233.77307,
0.100000001490116,1615879233.97394,
0.100000001490116,1615879234.17668,
0.100000001490116,1615879234.37804,
0.100000001490116,1615879234.57872,
0.100000001490116,1615879234.7805,
0.100000001490116,1615879234.98243,
0.100000001490116,1615879235.18519,
0.100000001490116,1615879235.39013,
0.100000001490116,1615879235.58866,
0.100000001490116,1615879235.79204,
0.100000001490116,1615879235.99267,
0.100000001490116,1615879236.19468,
0.100000001490116,1615879236.39709,
0.100000001490116,1615879236.59993,
0.100000001490116,1615879236.8025,
0.100000001490116,1615879237.00259,
0.100000001490116,1615879237.20558,
0.100000001490116,1615879237.407,
0.100000001490116,1615879237.60932,
0.100000001490116,1615879237.80972,
0.100000001490116,1615879238.01138,
0.100000001490116,1615879238.21362,
0.100000001490116,1615879238.41532,
0.100000001490116,1615879238.61781,
0.100000001490116,1615879238.81835,
0.100000001490116,1615879239.01972,
0.100000001490116,1615879239.22103,
0.100000001490116,1615879239.42252,
0.100000001490116,1615879239.6257,
0.100000001490116,1615879239.82691,
0.100000001490116,1615879240.0296,
0.100000001490116,1615879240.22901,
0.100000001490116,1615879240.43025,
